Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Chase McNary,30,Fitness Instructor,"Denver, Colorado",The Bachelorette – JoJo,Week 4,Split Week 6
Angela Amezcua,29,Model,"Greenville, South Carolina",The Bachelor – NickBachelor in Paradise —Season 5,Week 4,Unknown
Matt Donald,26,Medical Device Salesman,"Los Gatos, California",The Bachelorette – Hannah,Week 4,Split Week 6
Bri Barnes,24,Model,"Los Angeles, California",The Bachelor – Colton,Week 5,Unknown
Haley Ferguson,26,Cocktail Waitress,"Las Vegas, Nevada",The Bachelor – Ben H.Bachelor in Paradise season 3 & season 4,Week 3,Week 5
Revian Chang,24,Yoga Instructor,"Los Angeles, California",The Bachelor – Colton,Week 5,Week 5
Sydney Lotuaco,27,Fitness Instructor,"New York, New York",The Bachelor – Colton,Week 1,Week 5
Luke Stone,29,Political Consultant,"Washington, DC",The Bachelorette – Hannah,Week 4,Week 5
Connor Saeli,24,Investment Analyst,Dallas Texas,The Bachelorette – Hannah,Week 4,Week 6 (Quit)
Whitney Fransway,27,Pilates Instructor,"Los Angeles, California",The Bachelor – Nick,Week 5,Unknown
Blake Horstmann,30,Sales Rep,"Denver, Colorado",The Bachelorette – Becca,Week 1,Split Week 5
Kristina Schulman,27,Dental Hygienist,"Los Angeles, California",The Bachelor – NickBachelor in Paradise —Season 4,Week 1,Unknown
Dean Unglert,28,Startup Recruiter,"Los Angeles, California",The Bachelorette – Rachel Bachelor in Paradise — Season 4The Bachelor Winter Games,Week 2; Week 5 (Returned),Week 3 (Quit); Relationship Week 5
Caelynn Miller-Keyes,24,Model,"Los Angeles, California",The Bachelor – Colton,Week 1,Relationship Week 5
Mike Johnson,31,Portfolio Manager,"San Antonio, Texas",The Bachelorette – Hannah,Week 2,Week 4
Derek Peth,32,Commercial Banker,"New York, New York",The Bachelorette – JoJo Bachelor in Paradise — Season 4,Week 1,Week 4 (Quit)
Caitlin Clemmens,25,Realtor,"Toronto, Ontario",The Bachelor – Colton,Week 3,Week 3
Jennifer Saviano,29,Business Owner,"Nashville, Tennessee",The Bachelor – Ben H.Bachelor in Paradise —Season 3,Week 3,Week 3
Tahzjuan Hawkins,25,Business Development Associate,"Castle Pines, Colorado",The Bachelor – Colton,Week 3,Week 3
"Cameron ""Cam"" Ayala",30,Software Sales,"Austin, Texas",The Bachelorette – Hannah,Week 1,Week 2
Kevin Fortenberry,27,Behavioral Health Specialist,"Chicago, Illinois",The Bachelorette – Hannah,Week 1,Week 2
Wills Reid,30,Graphic Designer,"Los Angeles, California",The Bachelorette – Becca Bachelor in Paradise — Season 5,Week 1,Week 2
Onyeka Ehie,25,IT Risk Consultant,"Dallas, Texas",The Bachelor – Colton,Week 1,Week 2 (Quit)
Christian Estrada,29,Actor,"New York, New York",The Bachelorette – Becca,Week 2,Week 2 (Removed)
Jordan Kimball,27,Model,"Crystal River, Florida",The Bachelorette – Becca Bachelor in Paradise — Season 5,Week 2,Week 2 (Removed)
Annaliese Puccini,34,Event Designer,"San Francisco, California",The Bachelor – Arie Bachelor in Paradise — Season 5,Week 1,Week 1
Bibiana Julian,31,Executive Assistant,"Miami, Florida",The Bachelor – ArieThe Bachelor Winter Games''Bachelor in Paradise — Season 5,Week 1,Week 1
Jane Averbukh,26,Social Worker,"West Hollywood, California",The Bachelor – Colton,Week 1,Week 1
Chris,In,In,Date,In,Date,Engaged
Katie,In,In,Last,In,Last,Engaged
Demi,In,In,Date,In,Date,Engaged[a]
Kristian,Wait[b],Date,In,Date,Engaged,Unknown
Dylan,In,In,Date,In,Date,Engaged
Hannah,In,In,Date,In,Date,Engaged
Clay,Date,In,In,In,Date,Split
Nicole,Date,Date,In,In,Date,Split
John Paul Jones,In,In,Date,In,In,Split
Tayshia,Date,In,In,In,In,Split
Chase,Wait,Date,In,Split,Unknown,Unknown
Angela,Wait[c],Date,In,Split,Unknown,Unknown
Matt,Wait,Date,Date,Split,Unknown,Unknown
Bri,Wait,Date,Split,Unknown,Unknown,Unknown
Haley,Wait,Date,In,Out,,Unknown
Revian,Wait,Out,,Unknown,Unknown,Unknown
Sydney,In,In,In,Date,Out,
Luke,Wait,Date,Out[d],,Unknown,Unknown
Connor,Wait[c],Date,Quit,,Unknown,Unknown
Whitney,Wait[c],Quit,,Unknown,Unknown,Unknown
Blake,Date,Last,Date,Last,Split,
Kristina,Last,In,In,Date,Split,
Dean,Wait,Date,Quit,,Quit,
Caelynn,In,Date,In,Date,Quit,
Mike,Wait,Date,In,Out,,Unknown
Derek,In,In,In,Quit,,Unknown
Caitlin,Wait,Out,,Unknown,Unknown,Unknown
Jennifer,Wait,Out,Unknown,Unknown,Unknown,Unknown
Tahzjuan,Wait,Out,Unknown,Unknown,Unknown,Unknown
Cam,In,Out,,Unknown,Unknown,Unknown
Kevin,In,Out,Unknown,Unknown,Unknown,Unknown
Wills,In,Out,Unknown,Unknown,Unknown,Unknown
Onyeka,In,Quit,Unknown,Unknown,Unknown,Unknown
Christian,Wait,Out,Unknown,Unknown,Unknown,Unknown
Jordan,Wait,Out,Unknown,Unknown,Unknown,Unknown
Annaliese,Out,,Unknown,Unknown,Unknown,Unknown
Bibiana,Out,Unknown,Unknown,Unknown,Unknown,Unknown
Jane,Out,Unknown,Unknown,Unknown,Unknown,Unknown
1,"""Week 1: Part 1 (Season Premiere)""","August 5, 2019 (2019-08-05)",601A,4.36[10],1.3/7[10],Unknown
2,"""Week 1: Part 2""","August 6, 2019 (2019-08-06)",601B,3.56[11],1.1/6[11],Unknown
3,"""Week 2: Part 1""","August 12, 2019 (2019-08-12)",602A,4.33[12],1.2/6[12],Unknown
4,"""Week 2: Part 2""","August 13, 2019 (2019-08-13)",602B,4.07[13],1.1/6[13],Unknown
5,"""Week 3: Part 1""","August 19, 2019 (2019-08-19)",603A,4.78[14],1.3/7[14],Unknown
6,"""Week 3: Part 2""","August 20, 2019 (2019-08-20)",603B,4.12[15],1.1/6[15],Unknown
7,"""Week 4: Part 1""","August 26, 2019 (2019-08-26)",604A,4.59[16],1.2/6[16],Unknown
8,"""Week 4: Part 2""","August 27, 2019 (2019-08-27)",604B,3.95[17],1.1/6[17],Unknown
9,"""Week 5: Part 1""","September 2, 2019 (2019-09-02)",605A,4.02[18],1.1/5[18],Unknown
10,"""Week 5: Part 2""","September 3, 2019 (2019-09-03)",605B,4.05[19],1.1/6[19],Unknown
11,"""Week 6: Part 1""","September 9, 2019 (2019-09-09)",606A,4.39[20],1.2/6[20],Unknown
12,"""Week 6: Part 2""","September 10, 2019 (2019-09-10)",606B,4.14[21],1.1/5[21],Unknown
13,"""Week 7: Season Finale""","September 17, 2019 (2019-09-17)",607,4.38[22],1.3/7[22],Unknown
Amanda Marsh,23.0,Event Planner,"Chanute, Kansas",,,1
Trista Rehn,29.0,Miami Heat Dancer,"Miami, Florida",,6.0,1
Shannon Oliver,24.0,Financial Management Consultant,"Dallas, Texas",,5.0,1
Kim,24.0,Nanny,"Tempe, Arizona",,4.0,1
Cathy Grimes,22.0,Graduate Student,"Terra Haute, Indiana",,3.0,1
Christina,28.0,Attorney,"Bonita, California",,3.0,1
LaNease Adams,23.0,Actress,"Los Angeles, California",,3.0,1
Rhonda,28.0,Commercial Real Estate Agent,"Woodward, Oklahoma",,3.0,1
Alexa,27.0,Special Ed. Teacher,"Beverly Hills, California",,2.0,1
Amy,28.0,Production Coordinator,"New York, New York",,2.0,1
Angela,25.0,Hooters Waitress,"Avondale, Arizona",,2.0,1
Angelique,27.0,Actress,"Burbank, California",,2.0,1
Katie,23.0,Power Tool Sales Rep.,"Malden, Massachusetts",,2.0,1
Melissa,25.0,Photographer,"Tempe, Arizona",,2.0,1
Tina,27.0,Graduate Student,"Plano, Texas",,2.0,1
Amber,29.0,Business Development Director,"Los Angeles, California",,1.0,1
Daniela,30.0,Neuropsychologist,"Seattle, Washington",,1.0,1
Denise,30.0,Doctor,"Honolulu, Hawaii",,1.0,1
Jackie,22.0,Bar Manager,"Pittsburgh, Pennsylvania",,1.0,1
Jill,31.0,Retail Manager,"Chicago, Illinois",,1.0,1
Kristina,27.0,Advertising Executive,"Los Angeles, California",,1.0,1
Lisa,29.0,Attorney,"Dallas, Texas",,1.0,1
Paula,24.0,Insurance Representative,"Swansea, Massachusetts",,1.0,1
Rachel,29.0,6th Grade Teacher,"Eastchester, New York",,1.0,1
Wendi,26.0,Technology Specialist,"Dallas, Texas",,1.0,1
Helene Eksterowicz,27.0,School Psychologist,"Gloucester, New Jersey",,,2
Brooke Smith,22.0,College Student,"Albertville, Alabama",,7.0,2
Gwen Gioia,31.0,Executive Recruiter,"Philadelphia, Pennsylvania",,6.0,2
Angela,27.0,Registered Nurse,"Kansas City, Missouri",,5.0,2
Hayley,28.0,Retail Manager,"Lake Oswego, Oregon",,4.0,2
Heather Crawford,30.0,Flight Attendant,"Dallas, Texas",,4.0,2
Christi,23.0,Assistant Financial Advisor,"Boise, Idaho",,3.0,2
Heather,24.0,Marriage Therapy Trainee,"Walnut Creek, California",,3.0,2
Kyla,22.0,Airline Supervisor,"Midvale, Utah",,3.0,2
Shannon,26.0,Graphic Artist,"Long Island, New York",,3.0,2
Dana,24.0,Radio Sales,"Beverly Hills, California",,2.0,2
Erin,25.0,Publications Quality Control,"Westchester, Pennsylvania",,2.0,2
Suzanne,33.0,Flight Attendant,"Redondo Beach, California",,2.0,2
Frances,30.0,Strategic Planning Analyst,"San Francisco, California",,2.0,2
Anindita,27.0,Attorney,"New York, New York",,2.0,2
Amber,26.0,Psychologist,"Chapel Hill, North Carolina",,1.0,2
Camille,29.0,Actress,"Los Angeles, California",,1.0,2
Cari,29.0,3rd Grade Teacher,"Granite City, Illinois",,1.0,2
Christy,24.0,Radiological Technologist,"Avondale, Arizona",,1.0,2
Erin,24.0,Interior Designer,"Houston, Texas",,1.0,2
Fatima,22.0,College Student,"Long Beach, California",,1.0,2
Liangy,30.0,Paralegal,"Coral Gables, Florida",,1.0,2
Lori,26.0,Former NBA Cheerleader,"Dallas, Texas",,1.0,2
Merrilee,28.0,1st Grade Teacher,"Forked River, New Jersey",,1.0,2
Suzi,28.0,Communications Specialist,"Richmond, Virginia",,1.0,2
Jessica Bowlin,22.0,Student,"Huntington Beach, California",,,5
Tara Huckeby,23.0,General contractor,"Shawnee, Oklahoma",,7.0,5
Mandy Jaye Jeffreys,26.0,Designer for an architect firm,"Midland, Texas",,6.0,5
Trish Schneider,28.0,Model,"Atlanta, Georgia",,5.0,5
Suzie Williams,23.0,Prosthetic technician,"Ann Arbor, Michigan",,4.0,5
Karen Lindsay,28.0,Pharmaceutical sales,"Pleasant Grove, Utah",,4.0,5
Jessica Holcomb,25.0,Attorney,"Pearsall, Texas",,3.0,5
Julie Durda,24.0,Professional Cheerleader,"Sacramento, California",,3.0,5
Jenny De Schiralli,26.0,Swim instructor/nanny/personal trainer,"Carrboro, North Carolina",,3.0,5
Katie Gehart,22.0,LASIK Eye and Skin Center manager,"Scottsdale, Arizona",,3.0,5
Jean-Marie Callahan,26.0,Hair stylist,"Gibson, North Carolina",,2.0,5
Debbie Merkett,27.0,Massage therapist/bartender,"Pinetops, North Carolina",,2.0,5
Anne-Catherine Labbé,27.0,Model/make-up artist,"Quebec City, Quebec",,2.0,5
Amber LaRoux,27.0,Consultant,"Sunriver, Oregon",,2.0,5
Mandy Clemens,25.0,Professional soccer player,"San Diego, California",,2.0,5
Kristy Romero,25.0,Student,"Dearborn, Michigan",,2.0,5
Celeste Creel,24.0,Model/executive assistant,"Ithaca, New York",,2.0,5
Jenny Matthews,24.0,Retail manager,"Canton, Michigan",,2.0,5
Dolores Farburg,26.0,Account manager,"Madison, New Jersey",,1.0,5
Francine Jones,25.0,Retail manager,"Houston, Texas",,1.0,5
DeShaun Warner,25.0,Account manager/sales,"Phillipsburg, New Jersey",,1.0,5
Jessica Kyron,21.0,Student,"Cincinnati, Ohio",,1.0,5
Holly Reeder,26.0,Bank representative,"Tulsa, Oklahoma",,1.0,5
Rachel Clementi,26.0,Fashion public relations manager,"Buffalo, New York",,1.0,5
Kristin Clearwater,25.0,Singer,"Sausalito, California",,1.0,5
Jennifer Wilson,24.0,Teacher,"Pembroke Pines, Florida",,,9
Sadie Murray,23.0,Publicist,"Carlsbad, California",,7.0,9
Lisa Blank,25.0,Marketing manager,"Portland, Oregon",,6.0,9
Agnese Polliza,24.0,Student,"Venice, Italy",,5.0,9
Jeanette Pawula,23.0,Teacher,"Bloomingdale, Illinois",,4.0,9
Desiree Valentin,22.0,Realtor,"Salt Lake City, Utah",,4.0,9
Jami Matzke,27.0,Event planner,"Galveston, Texas",,3.0,9
Gina Clark,28.0,Ultrasound technician,"Chicago, Illinois",,3.0,9
Erica Rose,23.0,Socialite,"Houston, Texas",,3.0,9
Sarah Schnare,30.0,Journalist,"Nelson, British Columbia",,2.0,9
Kim Jackson,27.0,Interior designer,"Newport Beach, California",,2.0,9
Ellen DeMaio,30.0,Realtor,"New Haven, Connecticut",,2.0,9
Tara Durr,24.0,Realtor,"St. Augustine, Florida",,1.0,9
Rosella Fratto,27.0,Make-up artist,"Chicago, Illinois",,1.0,9
Rita Ghazal,29.0,Policy advisor,"Richmond, VA",,1.0,9
Renee Snell,30.0,Broadcast marketer,"Baltimore, MD",,1.0,9
Meri Barr,27.0,Attorney,"Biloxi, MS",,1.0,9
Laura Morgan,29.0,Dolphin trainer,"San Diego, CA",,1.0,9
Jessica Horner,25.0,Assistant buyer,"Charlotte, NC",,1.0,9
Heather Sneed,34.0,Registered nurse,"Aliquippa, PA",,1.0,9
Elyse Hammer,27.0,Physician,"New York, NY",,1.0,9
Cosetta Blanca,,Dancer,Italy,,1.0,9
Claudia Gismondi,22.0,Restaurateur,"Boca Raton, FL",,1.0,9
Carissa Ilburg,25.0,Attorney,"Cattaraugus, NY",,1.0,9
Britt (Bowe) Newton,28.0,Beer chemist,"Columbus, OH",,1.0,9
Andrea Shirley,28.0,Hotel concierge,"Cincinnati, OH",,1.0,9
April Jacobs,23.0,Model,"Chicago, IL",,1.0,9
Tessa Horst,26.0,Social Worker,"San Francisco, California",,,10
Bevin Nicole Powers,28.0,Assistant,"Palo Alto, California",,8.0,10
Danielle Imwalle,25.0,Graphic Designer,"Bethel, Connecticut",,7.0,10
Amber Alchalabi,23.0,Teacher,"Sugar Land, Texas",,6.0,10
Stephanie Wilhite,23.0,Project Manager,"Overland Park, Kansas",,5.0,10
Tina Wu,26.0,Medical student,"Los Angeles, California",,5.0,10
Kate Brockhouse,24.0,Boutique owner,"Ravenel, South Carolina",,4.0,10
Nicole Clary,26.0,Sales Manager,"Charleston, SC",,4.0,10
Stephanie Tipper,27.0,Organ donor coordinator,"Folly Beach, SC",,4.0,10
Amanda Hackney,26.0,Financial analyst,"Dallas, TX",,3.0,10
Erin Parker,24.0,Financial analyst,"Logansport, LA",,3.0,10
Peyton Wright,24.0,Sorority recruiter,"La Vergne, Tennessee",,3.0,10
Alexis Young,26.0,Attorney,"Southlake, TX",,2.0,10
Susan Anderson,23.0,Boutique manager,"The Woodlands, TX",,2.0,10
Tiffany Warren,28.0,Medical equipment sales rep,"Boston, MA",,2.0,10
Blakeney Rowe,29.0,Radio sales,"Birmingham, AL",,1.0,10
Candace DeCost,23.0,Waitress,"Hilton Head Island, SC",,1.0,10
Catherine Warren,23.0,Former Miss Illinois,"Lake Forest, IL",,1.0,10
Danielle Vallis,26.0,Attorney,"Bronx, NY",,1.0,10
Jackie Topelli,23.0,Executive coordinator,"Minneapolis, MN",,1.0,10
Jeanette Alvarez,27.0,Health care manager,"Tampa, FL",,1.0,10
Jessica Devallo,32.0,Hedge fund analyst,"New York, NY",,1.0,10
Linda Malek,33.0,Attorney,"Cuyahoga Falls, OH",,1.0,10
Lindsay Smith,22.0,Student,"Lawrence, KS",,1.0,10
Tiffany Forester,27.0,Real estate sales/development,"St. Louis Park, MN",,1.0,10
Deanna Pappas,25.0,Realtor,"Newnan, Georgia",,8.0,11
Jenni Croft,27.0,Phoenix Suns Cheerleader,"Wichita, Kansas",,8.0,11
Bettina Bell,27.0,Realtor,"Washington, D.C.",,7.0,11
Sheena Stewart,23.0,Internet marketing executive,"Walnut Creek, California",,6.0,11
Hillary Reisinger,27.0,Registered nurse,"Philadelphia, Pennsylvania",,5.0,11
Kristy Katzmann,29.0,Acupuncturist,"Gurnee, Illinois",,5.0,11
"Estefania ""Stephy"" Kootz",26.0,Executive assistant,"Atlanta, Georgia",,4.0,11
Jade Beazley,24.0,Boutique sales worker,"Nashville, Tennessee",,4.0,11
McCarten Delaney,26.0,Account manager,"Lemon Grove, California",,4.0,11
Lindsey Hawkins,25.0,Model,"Livonia, Michigan",,3.0,11
Sarah Newlon,23.0,Bar manager,"O'Fallon, Illinois",,3.0,11
Solisa Shoop,25.0,Esthetician,"Georgetown, Texas",,3.0,11
Michele Leavy,30.0,Realtor,"South Brunswick, New Jersey",,2.0,11
Mallory Simons,24.0,Nanny,"Honolulu, Hawaii",,2.0,11
Erin Gardner,25.0,Publishing sales executive,"Tampa, Florida",,2.0,11
Jessica Kiss,27.0,News anchor,"Lady Lake, Florida",,1.0,11
Juli Gilliam,24.0,Law student,"Chicago, Illinois",,1.0,11
Kim Orville,31.0,Realtor,"Woodbridge, Connecticut",,1.0,11
Lori Langley,33.0,Biology teacher,"Annapolis, Maryland",,1.0,11
Melissa Buschel,28.0,Event planner,"Westchester, New York",,1.0,11
Morgan Becker,24.0,Graduate student,"Tempe, Arizona",,1.0,11
Natalie Velasco,25.0,Law student,"Duncanville, Texas",,1.0,11
Regina Doringa,31.0,Account representative,"San Diego, California",,1.0,11
Tauni Nessler ,31.0,Emergency room nurse,"St. Louis Park, Minnesota",,1.0,11
Susan Stein,35.0,Project analyst,"St. Charles, Illinois",,1.0,11
Shayne Lamas,22.0,Actress,"Malibu, California",,,12
Chelsea Wanstrath,25.0,Pharmaceutical sales rep.,"Durango, Colorado",,8.0,12
Amanda Rantuccio,27.0,Account Executive,"Niceville, Florida",,7.0,12
Noelle Drake,26.0,Photographer,"Loveland, Colorado",,6.0,12
Marshana Ritchie,27.0,Fashion designer,"Brooklyn, New York",,5.0,12
Robin Canfield,22.0,Advertising coordinator,"Holland, Michigan",,5.0,12
Ashlee Williss,22.0,Singer-songwriter,"Jacksonville Beach, Florida",,4.0,12
Kelly Duncan,25.0,Medical sales rep.,"Hollywood, California",,4.0,12
Holly Durst,24.0,Children's book author,"Suffield, Ohio",,4.0,12
Amy,22.0,Nanny,"Stockton, California",,3.0,12
Erin Storm,33.0,Hot-dog vendor,"Venice, California",,3.0,12
Kristine Heffelfinger,33.0,Personal trainer,"Dillsburg, Pennsylvania",,3.0,12
Carri Perrier,25.0,Church marketing rep.,"Oklahoma City, Oklahoma",,2.0,12
Erin Harper,25.0,Event planner,"Seattle, Washington",,2.0,12
Michelle P.,28.0,Administrative assistant,"Syracuse, New York",,2.0,12
Alyssa,24.0,Biology student,"Boise, Idaho",,1.0,12
Amanda Petterman,26.0,Law student,"LaFollette, Tennessee",,1.0,12
Denise,30.0,Attorney and former White House aide,"Washington, D.C",,1.0,12
Devon,24.0,Makeup artist,"Austin, Texas",,1.0,12
Lesley Geyer,23.0,Youth minister,"Tampa, Florida",,1.0,12
Michele R.,33.0,Interior designer,"Laguna Niguel, California",,1.0,12
Rebecca,30.0,Attorney,"Alamo, California",,1.0,12
Stacey Elza,26.0,Graduate student,"Chicago, Illinois",,1.0,12
Tamara,23.0,Cocktail waitress,"Beverly Hills, California",,1.0,12
Tiffany,33.0,Real estate marketing rep.,"San Francisco, California",,1.0,12
Melissa Rycroft,25.0,Sales Representative,"Dallas, Texas",,,13
Molly Malaney,24.0,Department Store Buyer,"Brookfield, Wisconsin",,8.0,13
Jillian Harris,29.0,Interior Designer,"Peace River, Alberta",,7.0,13
Naomi Rose Crespo,24.0,Flight Attendant,"Carlsbad, California",,6.0,13
Stephanie Hogan,34.0,Single Mother & Medical Marketing Rep.,"Huntsville, Alabama",,5.0,13
Lauren Wanger,27.0,Teacher,"Marlboro, New Jersey",,4.0,13
Megan Parris,25.0,Single Mother and Lacrosse Coach,"Sewickley, Pennsylvania",,4.0,13
Shannon Bair,29.0,Dental Hygienist,"Marshall, Missouri",,4.0,13
"Nicole ""Nikki"" Kaapke",29.0,Administrative Assistant,"Blue Island, Illinois",,4.0,13
Erica DeSimone,25.0,Account Executive,"Monroe, Connecticut",,3.0,13
Kari Fajen,27.0,Account Executive,"Lee's Summit, Missouri",,3.0,13
Natalie Getz,27.0,Human Resources Recruiter,"Morton, Illinois",,3.0,13
Raquel Medeiros,27.0,Medical Student,"Recife, Pernambuco, Brazil",,2.0,13
Sharon Staebell,32.0,Teacher,"Batavia, New York",,2.0,13
Lisa Gonzalez,28.0,Public Relations Associate,"Boise, Idaho",,2.0,13
Ann Lueders,24.0,Flight Attendant,"Phoenix, Arizona",,1.0,13
Dominique Carta,26.0,Medical Sales Rep.,"Mt. Carmel, Pennsylvania",,1.0,13
Emily,23.0,Casino Marketing Rep.,"Seattle, Washington",,1.0,13
Jackie Hickey,26.0,Wedding Coordinator,"Springfield, Massachusetts",,1.0,13
Julie Dermotta,26.0,Teacher,"Columbus, Ohio",,1.0,13
Nicole Mah,25.0,Menswear Buyer,"Calgary, Alberta",,1.0,13
Renee Simlak,36.0,Jewelry Designer,"Southfield, Michigan",,1.0,13
Shelby,23.0,Account Executive,"Stockton, California",,1.0,13
Stacia Mann,24.0,Single Mother & Charity Accountant,"Orem, Utah",,1.0,13
Treasure Morgan,28.0,Single Mother and Nurse Practitioner,"Salt Lake City, Utah",,1.0,13
Vienna Girardi,23.0,Marketing Representative,"Geneva, Florida",,,14
Tenley Molzahn,25.0,College Admissions,"Newberg, Oregon",,8.0,14
Gia Allemand,26.0,Swimsuit Model,"New York, New York",,7.0,14
Ali Fedotowsky,25.0,Advertising Account Manager,"Williamstown, Massachusetts",,6.0,14
Corrie Adamson,23.0,Wardrobe Consultant,"Kissimmee, Florida",,5.0,14
Ashleigh Hunt,25.0,Account Manager,"North Potomac, Maryland",,4.0,14
Jessie Sulidis,25.0,Cosmetic Sales Manager,"Oakville, Ontario",,4.0,14
Kathryn Sherlock,25.0,Corporate Flight Attendant,"Lexington, Kentucky",,4.0,14
Ella Nolan,30.0,Hair Stylist,"La Follette, Tennessee",,4.0,14
Elizabeth Kitt (NE),29.0,Nanny,"Imperial, Nebraska",,3.0,14
Valishia Savage,32.0,Homemaker,"San Bernardino, California",,3.0,14
Michelle Kujawa,26.0,Office Manager,"Anaheim, California",,3.0,14
Ashley Elmore,29.0,Teacher,"Pittsburgh, Pennsylvania",,2.0,14
Christina McCasland,25.0,Restaurant Manager,"San Diego, California",,2.0,14
Rozlyn Papa,28.0,Model/Make-Up Artist,"Richmond, Virginia",,2.0,14
Alexa (Lex) McAllister,25.0,Entrepreneur,"Galloway, Ohio",,1.0,14
Caitlyn McCabe,24.0,Spokesmodel,"Winfield, Illinois",,1.0,14
Channy Choch,29.0,Mortgage Loan Officer,"Santa Rosa, California",,1.0,14
Elizabeth Kreft (D.C.),29.0,"Captain, Air National Guard","Union, Kentucky",,1.0,14
Emily Harkins,23.0,Fitness Model,"West Chester, Ohio",,1.0,14
Kimberly Sullivan,24.0,NBA Dancer,"Norman, Oklahoma",,1.0,14
Kirsten Pittman,25.0,Waitress,"Aurora, Colorado",,1.0,14
Sheila Marie Lidner,25.0,Commercial Pilot,"Scottsdale, Arizona",,1.0,14
Stephanie Mueller,24.0,Dance Teacher,"Morris, Illinois",,1.0,14
Tiana Kruzel,31.0,Medical Technician,"Calgary, Alberta",,1.0,14
Emily Maynard,25.0,Children's Hospital Event Planner,"Morgantown, West Virginia",,,15
Chantal O'Brien,28.0,Executive Assistant,"Mercer Island, Washington",,10.0,15
Ashley Hebert,26.0,Dental Student,"Madawaska, Maine",,9.0,15
Shawntel Newton,25.0,Funeral Director,"Chico, California",,8.0,15
Michelle Money,30.0,Hair stylist,"Salt Lake City, Utah",,7.0,15
Britt Billmaier,25.0,Food writer,"Woodinville, Washington",,7.0,15
Jackie Gordon,26.0,Artist,"Newport, Rhode Island",,6.0,15
Alli Travis,24.0,Apparel merchant,"Columbus, Ohio",,6.0,15
Lisa Morrisey,24.0,Marketing Coordinator,"Ottawa, Kansas",,5.0,15
Marissa May,26.0,Sports Publicist,"Mesa, Arizona",,5.0,15
Ashley Spivey,26.0,Nanny,"Ellerbe, North Carolina",,5.0,15
Lindsay Hill,25.0,First grade teacher,"Plano, Texas",,4.0,15
Meghan Merritt,30.0,Fashion Marketer,"Princeton, New Jersey",,4.0,15
Stacey Quirpel,26.0,Bartender,"Quincy, Massachusetts",,4.0,15
Kimberly Coon,27.0,Marketing Coordinator,"Orlando, Florida",,3.0,15
Sarah Powell,27.0,Real Estate Broker,"Denver, Colorado",,3.0,15
Madison Garton,25.0,Model,"Vail, Colorado",,3.0,15
Keltie Colleen,28.0,Radio City Rockette,"Sherwood Park, Alberta",,2.0,15
Melissa Schreiber,32.0,Waitress,"Westport, Connecticut",,2.0,15
Raichel Goodyear,29.0,Manscaper,"Fullerton, California",,2.0,15
Britnee,25.0,Paralegal,"Holland, Pennsylvania",,1.0,15
Cristy Caserta,30.0,Attorney,"Davie, Florida",,1.0,15
"Jessica ""J"" Adams",26.0,Operations Manager,"Seattle, Washington",,1.0,15
Jill Ruskowski,28.0,Sales director,"Frisco, Texas",,1.0,15
Lacey Garbelman,27.0,Insurance agent,"Tampa, Florida",,1.0,15
Lauren Moore,26.0,High School Teacher,"Culpeper, Virginia",,1.0,15
Lisa P.,27.0,Sales Consultant,"Dix Hills, New York",,1.0,15
Rebecca,30.0,Esthetician,"Mission Viejo, California",,1.0,15
Renee Halpin,28.0,Nanny,"Palos Hills, Illinois",,1.0,15
Sarah Ledtke,25.0,Musical Theatre Performer,"Saginaw, Michigan",,1.0,15
Courtney Robertson,28.0,Model,"Scottsdale, Arizona",,,16
Lindzi Cox,27.0,Business development manager,"Newcastle, Washington",,10.0,16
Nicki Sterling,26.0,Dental hygienist,"Hurst, Texas",,9.0,16
Kacie Boguskie,24.0,Administrative assistant,"Clarksville, Tennessee",,8.0,16
Emily O'Brien,27.0,PhD Student,"Chapel Hill, North Carolina",,7.0,16
Rachel Truehart,27.0,Fashion sales representative,"Southampton, Massachusetts",,7.0,16
Jamie Otis,25.0,Registered nurse,"Dryden, New York",,6.0,16
Casey Shteamer,26.0,Trading clerk,"Leawood, Kansas",,6.0,16
Blakeley Jones,33.0,VIP cocktail waitress,"Rutherfordton, North Carolina",,6.0,16
Jennifer Fritsch,28.0,Accountant,"Cache, Oklahoma",,5.0,16
Elyse Myers,24.0,Personal trainer,"Chicago, Illinois",,5.0,16
Monica Spannbauer,33.0,Dental consultant,"Yuba, California",,4.0,16
Samantha Levey,26.0,Advertising account manager,"Pittsburgh, Pennsylvania",,4.0,16
Erika Uhlig,23.0,Law student,"Charlottesville, Virginia",,3.0,16
Jaclyn Swartz,27.0,Advertising account manager,"Newton, Massachusetts",,3.0,16
Brittney Schreiner,26.0,Medical sales representative,"Colorado Springs, Colorado",,3.0,16
Jenna Burke,27.0,Blogger,"Loveland, Ohio",,2.0,16
Shawn Reynolds,28.0,Financial advisor,"Cincinnati, Ohio",,2.0,16
Amber Bacon,23.0,Labor and delivery nurse,"Port Coquitlam, British Columbia",,1.0,16
Amber Tierney,28.0,Critical care nurse,"Waverly, Nebraska",,1.0,16
Anna Snowball,25.0,Student,"Detroit, Michigan",,1.0,16
Dianna Martinez,30.0,Nonprofit director,"San Gabriel, California",,1.0,16
Holly Johnson,34.0,Pharmaceutical sales representative,"Salyersville, Kentucky",,1.0,16
Lyndsie James,29.0,Internet entrepreneur,"London, England",,1.0,16
